t,x,u
0.05,0.52,0.0959337
0.05,0.53,1.94406
0.05,0.54,0.986312
0.05,0.55,0.0940043
0.05,0.56,1.90883
0.05,0.57,1.88164
0.05,0.58,0.953276
0.05,0.59,0.024
0.05,0.6,0.03
0.05,0.61,1.0305
0.05,0.62,1.03051
0.05,0.63,1.02953
0.05,0.64,1.02756
0.05,0.65,1.02461
0.05,0.66,0.102934
0.05,0.67,1.95246
0.05,0.68,0.991912
0.05,0.69,0.102404
0.05,0.7,1.91583
0.05,0.71,1.88724
0.05,0.72,0.958876
0.05,0.73,0.0296
0.05,0.74,0.037
0.05,0.75,1.0375
0.05,0.76,1.03751
0.05,0.77,1.03653
0.05,0.78,1.03456
0.05,0.79,1.03161
0.05,0.8,0.109934
0.05,0.81,1.96086
0.05,0.82,0.997512
0.05,0.83,0.110804
0.05,0.84,1.92283
0.05,0.85,1.89284
0.05,0.86,0.964476
0.05,0.87,0.0352
0.05,0.88,0.044
0.05,0.89,1.0445
0.05,0.9,1.04451
0.05,0.91,1.04353
0.05,0.92,1.04156
0.05,0.93,1.03861
0.05,0.94,1.03469
0.05,0.95,1.02979
0.05,0.96,1.02392
0.05,0.97,1.01708
0.05,0.98,1.00929
0.05,0.99,1.00056
0.05,1,0.990881
0.06,0,0.941765
0.06,0.01,0.951829
0.06,0.02,0.961989
0.06,0.03,0.972246
0.06,0.04,0.982599
0.06,0.05,0.99305
0.06,0.06,1.0036
0.06,0.07,1.00371
0.06,0.08,1.00283
0.06,0.09,1.91872
0.06,0.1,0.0670382
0.06,0.11,1.00669
0.06,0.12,1.89577
0.06,0.13,0.0631774
0.06,0.14,0.979798
0.06,0.15,1.88983
0.06,0.16,1.86694
0.06,0.17,0.938676
0.06,0.18,0.0095
0.06,0.19,0.0114
0.06,0.2,1.012
0.06,0.21,1.01211
0.06,0.22,1.01123
0.06,0.23,1.92712
0.06,0.24,0.0740382
0.06,0.25,1.01649
0.06,0.26,1.90277
0.06,0.27,0.0715774
0.06,0.28,0.988198
0.06,0.29,1.89823
0.06,0.3,1.87394
0.06,0.31,0.945676
0.06,0.32,0.0165
0.06,0.33,0.0198
0.06,0.34,1.0204
0.06,0.35,1.02051
0.06,0.36,1.01963
0.06,0.37,1.93552
0.06,0.38,0.0810382
0.06,0.39,1.02629
0.06,0.4,1.90977
0.06,0.41,0.0799774
0.06,0.42,0.996598
0.06,0.43,1.90663
0.06,0.44,1.88094
0.06,0.45,0.952676
0.06,0.46,0.0235
0.06,0.47,0.0282
0.06,0.48,1.0288
0.06,0.49,1.02891
0.06,0.5,1.02803
0.06,0.51,1.94392
0.06,0.52,0.0880382
0.06,0.53,1.03609
0.06,0.54,1.91677
0.06,0.55,0.0883774
0.06,0.56,1.005
0.06,0.57,1.91503
0.06,0.58,1.88794
0.06,0.59,0.959676
0.06,0.6,0.0305
0.06,0.61,0.0366
0.06,0.62,1.0372
0.06,0.63,1.03731
0.06,0.64,1.03643
0.06,0.65,1.95232
0.06,0.66,0.0950382
0.06,0.67,1.04589
0.06,0.68,1.92377
0.06,0.69,0.0967774
0.06,0.7,1.0134
0.06,0.71,1.92343
0.06,0.72,1.89494
0.06,0.73,0.966676
0.06,0.74,0.0375
0.06,0.75,0.045
0.06,0.76,1.0456
0.06,0.77,1.04571
0.06,0.78,1.04483
0.06,0.79,1.96072
0.06,0.8,0.102038
0.06,0.81,1.05569
0.06,0.82,1.93077
0.06,0.83,0.105177
0.06,0.84,1.0218
0.06,0.85,1.93183
0.06,0.86,1.90194
0.06,0.87,0.973676
0.06,0.88,0.0445
0.06,0.89,0.0534
0.06,0.9,1.054
0.06,0.91,1.05411
0.06,0.92,1.05323
0.06,0.93,1.05136
0.06,0.94,1.04851
0.06,0.95,1.04469
0.06,0.96,1.03989
0.06,0.97,1.03412
0.06,0.98,1.02738
0.06,0.99,1.01969
0.06,1,1.01106
0.07,0,0.932394
0.07,0.01,0.942465
0.07,0.02,0.952629
0.07,0.03,0.962889
0.07,0.04,0.973246
0.07,0.05,0.983699
0.07,0.06,0.99425
0.07,0.07,1.0049
0.07,0.08,0.0873519
0.07,0.09,1.9354
0.07,0.1,0.990158
0.07,0.11,0.0935358
0.07,0.12,1.91663
0.07,0.13,0.988572
0.07,0.14,0.0708043
0.07,0.15,0.981898
0.07,0.16,1.89203
0.07,0.17,1.86924
0.07,0.18,0.941076
0.07,0.19,0.012
0.07,0.2,0.014
0.07,0.21,1.0147
0.07,0.22,0.0971519
0.07,0.23,1.9466
0.07,0.24,0.998558
0.07,0.25,0.104736
0.07,0.26,1.92643
0.07,0.27,0.998372
0.07,0.28,0.0806043
0.07,0.29,0.991698
0.07,0.3,1.90183
0.07,0.31,1.87764
0.07,0.32,0.949476
0.07,0.33,0.0204
0.07,0.34,0.0238
0.07,0.35,1.0245
0.07,0.36,0.106952
0.07,0.37,1.9578
0.07,0.38,1.00696
0.07,0.39,0.115936
0.07,0.4,1.93623
0.07,0.41,1.00817
0.07,0.42,0.0904043
0.07,0.43,1.0015
0.07,0.44,1.91163
0.07,0.45,1.88604
0.07,0.46,0.957876
0.07,0.47,0.0288
0.07,0.48,0.0336
0.07,0.49,1.0343
0.07,0.5,0.116752
0.07,0.51,1.969
0.07,0.52,1.01536
0.07,0.53,0.127136
0.07,0.54,1.94603
0.07,0.55,1.01797
0.07,0.56,0.100204
0.07,0.57,1.0113
0.07,0.58,1.92143
0.07,0.59,1.89444
0.07,0.6,0.966276
0.07,0.61,0.0372
0.07,0.62,0.0434
0.07,0.63,1.0441
0.07,0.64,0.126552
0.07,0.65,1.9802
0.07,0.66,1.02376
0.07,0.67,0.138336
0.07,0.68,1.95583
0.07,0.69,1.02777
0.07,0.7,0.110004
0.07,0.71,1.0211
0.07,0.72,1.93123
0.07,0.73,1.90284
0.07,0.74,0.974676
0.07,0.75,0.0456
0.07,0.76,0.0532
0.07,0.77,1.0539
0.07,0.78,0.136352
0.07,0.79,1.9914
0.07,0.8,1.03216
0.07,0.81,0.149536
0.07,0.82,1.96563
0.07,0.83,1.03757
0.07,0.84,0.119804
0.07,0.85,1.0309
0.07,0.86,1.94103
0.07,0.87,1.91124
0.07,0.88,0.983076
0.07,0.89,0.054
0.07,0.9,0.063
0.07,0.91,1.0637
0.07,0.92,1.06391
0.07,0.93,1.06313
0.07,0.94,1.06136
0.07,0.95,1.05861
0.07,0.96,1.05489
0.07,0.97,1.05019
0.07,0.98,1.04452
0.07,0.99,1.03788
0.07,1,1.03029
0.08,0,0.923116
0.08,0.01,0.933194
0.08,0.02,0.943365
0.08,0.03,0.953629
0.08,0.04,0.963989
0.08,0.05,0.974446
0.08,0.06,0.984999
0.08,0.07,1.9134
0.08,0.08,0.0753235
0.08,0.09,1.01911
0.08,0.1,1.91231
0.08,0.11,0.0838226
0.08,0.12,1.00453
0.08,0.13,1.913
0.08,0.14,0.0652774
0.08,0.15,0.0730043
0.08,0.16,0.984198
0.08,0.17,1.89443
0.08,0.18,1.87174
0.08,0.19,0.943676
0.08,0.2,0.0147
0.08,0.21,0.934555
0.08,0.22,0.0851235
0.08,0.23,1.03171
0.08,0.24,1.92211
0.08,0.25,0.0950226
0.08,0.26,1.01573
0.08,0.27,1.9242
0.08,0.28,0.0750774
0.08,0.29,0.0842043
0.08,0.3,0.995398
0.08,0.31,1.90563
0.08,0.32,1.88154
0.08,0.33,0.953476
0.08,0.34,0.0245
0.08,0.35,0.945755
0.08,0.36,0.0949235
0.08,0.37,1.04431
0.08,0.38,1.93191
0.08,0.39,0.106223
0.08,0.4,1.02693
0.08,0.41,1.9354
0.08,0.42,0.0848774
0.08,0.43,0.0954043
0.08,0.44,1.0066
0.08,0.45,1.91683
0.08,0.46,1.89134
0.08,0.47,0.963276
0.08,0.48,0.0343
0.08,0.49,0.956955
0.08,0.5,0.104724
0.08,0.51,1.05691
0.08,0.52,1.94171
0.08,0.53,0.117423
0.08,0.54,1.03813
0.08,0.55,1.9466
0.08,0.56,0.0946774
0.08,0.57,0.106604
0.08,0.58,1.0178
0.08,0.59,1.92803
0.08,0.6,1.90114
0.08,0.61,0.973076
0.08,0.62,0.0441
0.08,0.63,0.968155
0.08,0.64,0.114524
0.08,0.65,1.06951
0.08,0.66,1.95151
0.08,0.67,0.128623
0.08,0.68,1.04933
0.08,0.69,1.9578
0.08,0.7,0.104477
0.08,0.71,0.117804
0.08,0.72,1.029
0.08,0.73,1.93923
0.08,0.74,1.91094
0.08,0.75,0.982876
0.08,0.76,0.0539
0.08,0.77,0.979355
0.08,0.78,0.124324
0.08,0.79,1.08211
0.08,0.8,1.96131
0.08,0.81,0.139823
0.08,0.82,1.06053
0.08,0.83,1.969
0.08,0.84,0.114277
0.08,0.85,0.129004
0.08,0.86,1.0402
0.08,0.87,1.95043
0.08,0.88,1.92074
0.08,0.89,0.992676
0.08,0.9,0.0637
0.08,0.91,0.0728
0.08,0.92,1.0736
0.08,0.93,1.07391
0.08,0.94,1.07323
0.08,0.95,1.07156
0.08,0.96,1.06891
0.08,0.97,1.06529
0.08,0.98,1.06069
0.08,0.99,1.05512
0.08,1,1.04858
0.09,0,0.913931
0.09,0.01,0.924016
0.09,0.02,0.934194
0.09,0.03,0.944465
0.09,0.04,0.954829
0.09,0.05,0.965289
0.09,0.06,0.0580909
0.09,0.07,1.91758
0.09,0.08,0.984846
0.09,0.09,0.101821
0.09,0.1,1.92905
0.09,0.11,1.00511
0.09,0.12,0.0914495
0.09,0.13,1.93202
0.09,0.14,0.990772
0.09,0.15,0.0675774
0.09,0.16,0.0754043
0.09,0.17,0.986698
0.09,0.18,1.89703
0.09,0.19,1.87444
0.09,0.2,0.0287219
0.09,0.21,0.950076
0.09,0.22,0.00599572
0.09,0.23,0.115821
0.09,0.24,1.94165
0.09,0.25,1.01771
0.09,0.26,0.104049
0.09,0.27,1.94602
0.09,0.28,1.00197
0.09,0.29,0.0787774
0.09,0.3,0.0880043
0.09,0.31,0.999298
0.09,0.32,1.90963
0.09,0.33,1.88564
0.09,0.34,0.0399219
0.09,0.35,0.962676
0.09,0.36,0.0171957
0.09,0.37,0.129821
0.09,0.38,1.95425
0.09,0.39,1.03031
0.09,0.4,0.116649
0.09,0.41,1.96002
0.09,0.42,1.01317
0.09,0.43,0.0899774
0.09,0.44,0.100604
0.09,0.45,1.0119
0.09,0.46,1.92223
0.09,0.47,1.89684
0.09,0.48,0.0511219
0.09,0.49,0.975276
0.09,0.5,0.0283957
0.09,0.51,0.143821
0.09,0.52,1.96685
0.09,0.53,1.04291
0.09,0.54,0.129249
0.09,0.55,1.97402
0.09,0.56,1.02437
0.09,0.57,0.101177
0.09,0.58,0.113204
0.09,0.59,1.0245
0.09,0.6,1.93483
0.09,0.61,1.90804
0.09,0.62,0.0623219
0.09,0.63,0.987876
0.09,0.64,0.0395957
0.09,0.65,0.157821
0.09,0.66,1.97945
0.09,0.67,1.05551
0.09,0.68,0.141849
0.09,0.69,1.98802
0.09,0.7,1.03557
0.09,0.71,0.112377
0.09,0.72,0.125804
0.09,0.73,1.0371
0.09,0.74,1.94743
0.09,0.75,1.91924
0.09,0.76,0.0735219
0.09,0.77,1.00048
0.09,0.78,0.0507957
0.09,0.79,0.171821
