t,x,u
0.07,0.25,0.861828
0.07,0.26,0.845281
0.07,0.27,0.827917
0.07,0.28,0.809755
0.07,0.29,0.790813
0.07,0.3,0.771111
0.07,0.31,0.750669
0.07,0.32,0.729507
0.07,0.33,0.707647
0.07,0.34,0.685112
0.07,0.35,0.661924
0.07,0.36,0.638107
0.07,0.37,0.613685
0.07,0.38,0.588683
0.07,0.39,0.563127
0.07,0.4,0.537041
0.07,0.41,0.510454
0.07,0.42,0.48339
0.07,0.43,0.455879
0.07,0.44,0.427948
0.07,0.45,0.399625
0.07,0.46,0.370938
0.07,0.47,0.341917
0.07,0.48,0.312591
0.07,0.49,0.28299
0.07,0.5,0.253143
0.07,0.51,0.223081
0.07,0.52,0.192834
0.07,0.53,0.162433
0.07,0.54,0.131908
0.07,0.55,0.101291
0.07,0.56,0.0706108
0.07,0.57,0.0399
0.07,0.58,0.00918924
0.07,0.59,-0.0214905
0.07,0.6,-0.0521083
0.07,0.61,-0.0826332
0.07,0.62,-0.113034
0.07,0.63,-0.143281
0.07,0.64,-0.173343
0.07,0.65,-0.20319
0.07,0.66,-0.232791
0.07,0.67,-0.262117
0.07,0.68,-0.291138
0.07,0.69,-0.319825
0.07,0.7,-0.348148
0.07,0.71,-0.376079
0.07,0.72,-0.40359
0.07,0.73,-0.430654
0.07,0.74,-0.457241
0.07,0.75,-0.483327
0.07,0.76,-0.508883
0.07,0.77,-0.533885
0.07,0.78,-0.558307
0.07,0.79,-0.582124
0.07,0.8,-0.605312
0.07,0.81,-0.627847
0.07,0.82,-0.649707
0.07,0.83,-0.670869
0.07,0.84,-0.691311
0.07,0.85,-0.711013
0.07,0.86,-0.729955
0.07,0.87,-0.748117
0.07,0.88,-0.765481
0.07,0.89,-0.782028
0.07,0.9,-0.797742
0.07,0.91,-0.812607
0.07,0.92,-0.826607
0.07,0.93,-0.839727
0.07,0.94,-0.851955
0.07,0.95,-0.863276
0.07,0.96,-0.873681
0.07,0.97,-0.883157
0.07,0.98,-0.891694
0.07,0.99,-0.899283
0.07,1,-0.905917
0.08,0,0.923116
0.08,0.01,0.933194
0.08,0.02,0.943365
0.08,0.03,0.953629
0.08,0.04,0.963989
0.08,0.05,0.974446
0.08,0.06,0.984999
0.08,0.07,0.99565
0.08,0.08,1.0064
0.08,0.09,1.00671
0.08,0.1,1.00603
0.08,0.11,1.00436
0.08,0.12,1.00171
0.08,0.13,0.998088
0.08,0.14,0.993487
0.08,0.15,0.987917
0.08,0.16,0.981383
0.08,0.17,0.973894
0.08,0.18,0.965457
0.08,0.19,0.956081
0.08,0.2,0.945776
0.08,0.21,0.934555
0.08,0.22,0.922427
0.08,0.23,0.909407
0.08,0.24,0.895507
0.08,0.25,0.880742
0.08,0.26,0.865128
0.08,0.27,0.848681
0.08,0.28,0.831417
0.08,0.29,0.813355
0.08,0.3,0.794513
0.08,0.31,0.774911
0.08,0.32,0.754569
0.08,0.33,0.733507
0.08,0.34,0.711747
0.08,0.35,0.689312
0.08,0.36,0.666224
0.08,0.37,0.642507
0.08,0.38,0.618185
0.08,0.39,0.593283
0.08,0.4,0.567827
0.08,0.41,0.541841
0.08,0.42,0.515354
0.08,0.43,0.48839
0.08,0.44,0.460979
0.08,0.45,0.433148
0.08,0.46,0.404925
0.08,0.47,0.376338
0.08,0.48,0.347417
0.08,0.49,0.318191
0.08,0.5,0.28869
0.08,0.51,0.258943
0.08,0.52,0.228981
0.08,0.53,0.198834
0.08,0.54,0.168533
0.08,0.55,0.138108
0.08,0.56,0.107591
0.08,0.57,0.0770108
0.08,0.58,0.0464
0.08,0.59,0.0157892
0.08,0.6,-0.0147905
0.08,0.61,-0.0453083
0.08,0.62,-0.0757332
0.08,0.63,-0.106034
0.08,0.64,-0.136181
0.08,0.65,-0.166143
0.08,0.66,-0.19589
0.08,0.67,-0.225391
0.08,0.68,-0.254617
0.08,0.69,-0.283538
0.08,0.7,-0.312125
0.08,0.71,-0.340348
0.08,0.72,-0.368179
0.08,0.73,-0.39559
0.08,0.74,-0.422554
0.08,0.75,-0.449041
0.08,0.76,-0.475027
0.08,0.77,-0.500483
0.08,0.78,-0.525385
0.08,0.79,-0.549707
0.08,0.8,-0.573424
0.08,0.81,-0.596512
0.08,0.82,-0.618947
0.08,0.83,-0.640707
0.08,0.84,-0.661769
0.08,0.85,-0.682111
0.08,0.86,-0.701713
0.08,0.87,-0.720555
0.08,0.88,-0.738617
0.08,0.89,-0.755881
0.08,0.9,-0.772328
0.08,0.91,-0.787942
0.08,0.92,-0.802707
0.08,0.93,-0.816607
0.08,0.94,-0.829627
0.08,0.95,-0.841755
0.08,0.96,-0.852976
0.08,0.97,-0.863281
0.08,0.98,-0.872657
0.08,0.99,-0.881094
0.08,1,-0.888583
0.09,0,0.913931
0.09,0.01,0.924016
0.09,0.02,0.934194
0.09,0.03,0.944465
0.09,0.04,0.954829
0.09,0.05,0.965289
0.09,0.06,0.975846
0.09,0.07,0.986499
0.09,0.08,0.99725
0.09,0.09,1.0081
0.09,0.1,1.00851
0.09,0.11,1.00793
0.09,0.12,1.00636
0.09,0.13,1.00381
0.09,0.14,1.00029
0.09,0.15,0.995787
0.09,0.16,0.990317
0.09,0.17,0.983883
0.09,0.18,0.976494
0.09,0.19,0.968157
0.09,0.2,0.958881
0.09,0.21,0.948676
0.09,0.22,0.937555
0.09,0.23,0.925527
0.09,0.24,0.912607
0.09,0.25,0.898807
0.09,0.26,0.884142
0.09,0.27,0.868628
0.09,0.28,0.852281
0.09,0.29,0.835117
0.09,0.3,0.817155
0.09,0.31,0.798413
0.09,0.32,0.778911
0.09,0.33,0.758669
0.09,0.34,0.737707
0.09,0.35,0.716047
0.09,0.36,0.693712
0.09,0.37,0.670724
0.09,0.38,0.647107
0.09,0.39,0.622885
0.09,0.4,0.598083
0.09,0.41,0.572727
0.09,0.42,0.546841
0.09,0.43,0.520454
0.09,0.44,0.49359
0.09,0.45,0.466279
0.09,0.46,0.438548
0.09,0.47,0.410425
0.09,0.48,0.381938
0.09,0.49,0.353117
0.09,0.5,0.323991
0.09,0.51,0.29459
0.09,0.52,0.264943
0.09,0.53,0.235081
0.09,0.54,0.205034
0.09,0.55,0.174833
0.09,0.56,0.144508
0.09,0.57,0.114091
0.09,0.58,0.0836108
0.09,0.59,0.0531
0.09,0.6,0.0225892
0.09,0.61,-0.00789052
0.09,0.62,-0.0383083
0.09,0.63,-0.0686332
0.09,0.64,-0.0988345
0.09,0.65,-0.128881
0.09,0.66,-0.158743
0.09,0.67,-0.18839
0.09,0.68,-0.217791
0.09,0.69,-0.246917
0.09,0.7,-0.275738
0.09,0.71,-0.304225
0.09,0.72,-0.332348
0.09,0.73,-0.360079
0.09,0.74,-0.38739
0.09,0.75,-0.414254
0.09,0.76,-0.440641
0.09,0.77,-0.466527
0.09,0.78,-0.491883
0.09,0.79,-0.516685
0.09,0.8,-0.540907
0.09,0.81,-0.564524
0.09,0.82,-0.587512
0.09,0.83,-0.609847
0.09,0.84,-0.631507
0.09,0.85,-0.652469
0.09,0.86,-0.672711
0.09,0.87,-0.692213
0.09,0.88,-0.710955
0.09,0.89,-0.728917
0.09,0.9,-0.746081
0.09,0.91,-0.762428
0.09,0.92,-0.777942
0.09,0.93,-0.792607
0.09,0.94,-0.806407
0.09,0.95,-0.819327
0.09,0.96,-0.831355
0.09,0.97,-0.842476
0.09,0.98,-0.852681
0.09,0.99,-0.861957
0.09,1,-0.870294
0.1,0,0.904837
0.1,0.01,0.914931
0.1,0.02,0.925116
0.1,0.03,0.935394
0.1,0.04,0.945765
0.1,0.05,0.956229
0.1,0.06,0.966789
0.1,0.07,0.977446
0.1,0.08,0.988199
0.1,0.09,0.99905
0.1,0.1,1.01
0.1,0.11,1.01051
0.1,0.12,1.01003
0.1,0.13,1.00856
0.1,0.14,1.00611
0.1,0.15,1.00269
0.1,0.16,0.998287
0.1,0.17,0.992917
0.1,0.18,0.986583
0.1,0.19,0.979294
0.1,0.2,0.971057
0.1,0.21,0.961881
0.1,0.22,0.951776
0.1,0.23,0.940755
0.1,0.24,0.928827
0.1,0.25,0.916007
0.1,0.26,0.902307
0.1,0.27,0.887742
0.1,0.28,0.872328
0.1,0.29,0.856081
0.1,0.3,0.839017
0.1,0.31,0.821155
0.1,0.32,0.802513
0.1,0.33,0.783111
0.1,0.34,0.762969
0.1,0.35,0.742107
0.1,0.36,0.720547
0.1,0.37,0.698312
0.1,0.38,0.675424
0.1,0.39,0.651907
0.1,0.4,0.627785
0.1,0.41,0.603083
0.1,0.42,0.577827
0.1,0.43,0.552041
